"UID";"A";"B";"C";"D";"Modified Date"
"3X4R";"562";"684";"276";"RR";"2022-07-16"
"EO6I";"611";"407";"17";"PM";"2022-07-16"
"W1NY";"550";"477";"73";"K3";"2022-07-16"
"TBGN";"425";"432";"58";"1M";"2022-07-16"
"7P91";"378";"289";"385";"BV";"2022-07-16"
"N3HR";"386";"282";"48";"II";"2022-07-16"
"C7JK";"278";"289";"459";"RB";"2022-07-16"
"1DTG";"229";"143";"288";"Y3";"2022-07-16"
"L05V";"193";"113";"410";"SO";"2022-07-16"
"8Q3N";"146";"126";"311";"PP";"2022-07-16"
"5RLO";"71";"56";"339";"HH";"2022-07-16"
"6FIL";"25";"17";"177";"WX";"2022-07-16"
"M3T0";"832";"933";"276";"TR";"2022-07-15"
"T395";"761";"862";"154";"0O";"2022-07-15"
"14TV";"779";"471";"72";"8O";"2022-07-15"
"929J";"804";"732";"442";"K2";"2022-07-15"
"3ZMJ";"651";"417";"421";"D3";"2022-07-15"
"T3VK";"634";"420";"361";"5N";"2022-07-15"
"BZJA";"533";"380";"156";"50";"2022-07-15"
"6QJK";"486";"385";"225";"N6";"2022-07-15"
"2W7Q";"492";"421";"216";"ZK";"2022-07-15"
"UYUZ";"430";"327";"374";"UV";"2022-07-15"
"D0XV";"375";"242";"17";"AA";"2022-07-15"
"CW8N";"324";"232";"109";"CI";"2022-07-15"
"X3X2";"235";"136";"372";"D6";"2022-07-15"
"22JV";"205";"198";"414";"FG";"2022-07-15"
"1UMY";"129";"117";"67";"1P";"2022-07-15"
"XNZ7";"83";"77";"34";"MY";"2022-07-15"
"QWFJ";"28";"19";"198";"DD";"2022-07-15"
"56G6";"965";"787";"338";"A3";"2022-07-14"
"Q6A2";"856";"840";"153";"6J";"2022-07-14"
"HAAA";"860";"509";"437";"0C";"2022-07-14"
"HOD7";"666";"522";"249";"QI";"2022-07-14"
"B3BY";"623";"461";"410";"YW";"2022-07-14"
"GIVG";"572";"377";"168";"S5";"2022-07-14"
"6MC9";"524";"321";"441";"0C";"2022-07-14"
"2BKA";"537";"472";"47";"BZ";"2022-07-14"
"9WLU";"501";"311";"134";"1U";"2022-07-14"
"UTI9";"434";"300";"22";"F1";"2022-07-14"
"1HRZ";"371";"289";"82";"QB";"2022-07-14"
"HMO9";"324";"271";"316";"R1";"2022-07-14"
"MZKO";"243";"178";"441";"4U";"2022-07-14"
"R6EZ";"174";"125";"120";"GE";"2022-07-14"
"LBHF";"130";"126";"158";"08";"2022-07-14"
"MJK3";"75";"77";"305";"ZS";"2022-07-14"
"YA9N";"27";"18";"282";"AW";"2022-07-14"
"3IRS";"803";"609";"439";"F9";"2022-07-13"
"53I0";"866";"836";"280";"S5";"2022-07-13"
"RMR7";"786";"829";"401";"FH";"2022-07-13"
"8BME";"713";"548";"108";"IR";"2022-07-13"
"4Q59";"688";"661";"139";"83";"2022-07-13"
"9X0G";"621";"537";"133";"G3";"2022-07-13"
"VLZV";"607";"456";"137";"0U";"2022-07-13"
"M4BB";"571";"518";"170";"YC";"2022-07-13"
"IVTV";"417";"313";"42";"65";"2022-07-13"
"8TQQ";"362";"271";"195";"5Y";"2022-07-13"
"5IH8";"352";"250";"115";"82";"2022-07-13"
"IKJV";"319";"281";"367";"XA";"2022-07-13"
"42Z8";"219";"158";"83";"6S";"2022-07-13"
"9C8C";"190";"206";"300";"54";"2022-07-13"
"HNO5";"135";"110";"479";"N3";"2022-07-13"
"U9F8";"82";"76";"287";"I4";"2022-07-13"
"BUBI";"29";"18";"498";"A0";"2022-07-13"
"ATYB";"913";"735";"478";"E4";"2022-07-12"
"GYUA";"803";"833";"15";"4Q";"2022-07-12"
"65F7";"775";"843";"424";"OF";"2022-07-12"
"AKBY";"677";"660";"93";"BT";"2022-07-12"
"N2WR";"729";"384";"373";"UQ";"2022-07-12"
"5SN5";"598";"578";"315";"C0";"2022-07-12"
"ZFH7";"529";"509";"92";"VT";"2022-07-12"
"QJCE";"511";"320";"333";"LF";"2022-07-12"
"AO80";"432";"318";"452";"49";"2022-07-12"
"VH3L";"424";"373";"466";"AP";"2022-07-12"
"XM7W";"370";"351";"466";"HG";"2022-07-12"
"WWTB";"307";"293";"21";"HV";"2022-07-12"
"EPHF";"232";"267";"430";"P8";"2022-07-12"
"G47S";"186";"203";"458";"SP";"2022-07-12"
"NOOZ";"150";"117";"198";"JA";"2022-07-12"
"ZUCT";"81";"61";"104";"CQ";"2022-07-12"
"AXBV";"30";"31";"481";"4N";"2022-07-12"
"IT7J";"828";"986";"263";"8C";"2022-07-11"
"AXNH";"812";"495";"151";"3I";"2022-07-11"
"VQJ6";"769";"781";"141";"2C";"2022-07-11"
"7DA8";"677";"790";"311";"0M";"2022-07-11"
"ESIA";"653";"407";"153";"67";"2022-07-11"
"RHFB";"594";"510";"6";"VW";"2022-07-11"
"YNLU";"559";"619";"278";"QL";"2022-07-11"
"ABY9";"499";"565";"65";"LU";"2022-07-11"
"Z4EZ";"467";"382";"420";"IN";"2022-07-11"
"KF98";"438";"239";"9";"OY";"2022-07-11"
"JEBQ";"392";"211";"251";"L1";"2022-07-11"
"IYG8";"327";"199";"380";"YZ";"2022-07-11"
"Y2XB";"262";"213";"421";"K3";"2022-07-11"
"MO33";"199";"187";"145";"TU";"2022-07-11"
"ME73";"129";"119";"12";"H6";"2022-07-11"
"FQVB";"92";"64";"239";"0B";"2022-07-11"
"GP9L";"30";"24";"90";"XW";"2022-07-11"
"F9VJ";"928";"828";"141";"BR";"2022-07-10"
"9F67";"777";"593";"339";"4B";"2022-07-10"
"GPLN";"748";"484";"102";"AF";"2022-07-10"
"X6NA";"764";"726";"61";"OP";"2022-07-10"
"EYBB";"722";"552";"449";"WQ";"2022-07-10"
"ST1B";"642";"428";"387";"IH";"2022-07-10"
"1RO6";"601";"332";"283";"JY";"2022-07-10"
"B1UE";"528";"433";"346";"4F";"2022-07-10"
"GQV2";"505";"328";"242";"UO";"2022-07-10"
"995V";"440";"326";"261";"HM";"2022-07-10"
"NOWK";"324";"306";"295";"8Z";"2022-07-10"
"6RAO";"294";"185";"342";"SB";"2022-07-10"
"EFXE";"237";"265";"475";"12";"2022-07-10"
"U3QD";"207";"196";"206";"Z7";"2022-07-10"
"P0AF";"151";"90";"479";"2Q";"2022-07-10"
"AHYZ";"87";"75";"258";"7H";"2022-07-10"
"EA6O";"31";"17";"415";"ZK";"2022-07-10"
"5G1A";"898";"759";"83";"N8";"2022-07-09"
"12IY";"883";"662";"302";"O7";"2022-07-09"
"A42Y";"737";"795";"288";"MS";"2022-07-09"
"P1HV";"683";"617";"258";"MR";"2022-07-09"
"HPT9";"652";"515";"135";"SS";"2022-07-09"
"1DPA";"579";"670";"394";"TB";"2022-07-09"
"K6N8";"577";"318";"313";"FX";"2022-07-09"
"SXQ8";"499";"306";"117";"8F";"2022-07-09"
"BXPK";"515";"509";"291";"EN";"2022-07-09"
"OQ04";"436";"252";"427";"DG";"2022-07-09"
"RQXK";"391";"294";"24";"0P";"2022-07-09"
"PBBB";"275";"273";"309";"3Z";"2022-07-09"
"SBPU";"262";"243";"211";"KK";"2022-07-09"
"4BMN";"205";"168";"249";"TT";"2022-07-09"
"MXXL";"148";"143";"134";"PB";"2022-07-09"
"4T98";"89";"55";"442";"YE";"2022-07-09"
"62FS";"30";"22";"287";"HX";"2022-07-09"
"68IM";"864";"841";"135";"XA";"2022-07-08"
"63IC";"806";"498";"442";"LC";"2022-07-08"
"8H38";"721";"826";"34";"24";"2022-07-08"
"UP8W";"704";"468";"484";"FZ";"2022-07-08"
"VP2C";"742";"559";"206";"DG";"2022-07-08"
"UQXX";"573";"517";"391";"SN";"2022-07-08"
"RMLX";"557";"570";"257";"ZY";"2022-07-08"
"AU23";"524";"308";"152";"PT";"2022-07-08"
"ZTMA";"450";"305";"27";"ED";"2022-07-08"
"N9D3";"404";"243";"129";"JB";"2022-07-08"
"YM6A";"326";"270";"231";"UV";"2022-07-08"
"ZJD8";"313";"247";"296";"QC";"2022-07-08"
"E0QQ";"222";"171";"177";"V5";"2022-07-08"
"FVP8";"216";"119";"353";"94";"2022-07-08"
"LDS4";"156";"85";"132";"QK";"2022-07-08"
"4Q9C";"94";"55";"256";"UU";"2022-07-08"
"A030";"35";"23";"212";"TA";"2022-07-08"
"2BRM";"956";"745";"148";"R8";"2022-07-07"
"430X";"933";"660";"351";"6E";"2022-07-07"
"X0IW";"870";"547";"151";"II";"2022-07-07"
"8CJP";"703";"776";"173";"YD";"2022-07-07"
"3EDI";"636";"665";"208";"QJ";"2022-07-07"
"PZKE";"662";"408";"203";"LR";"2022-07-07"
"JG9Q";"562";"637";"225";"UB";"2022-07-07"
"QF62";"484";"397";"81";"5T";"2022-07-07"
"RETF";"447";"516";"167";"1B";"2022-07-07"
"5FQ3";"408";"374";"159";"V1";"2022-07-07"
"D7SR";"354";"214";"365";"3W";"2022-07-07"
"S4VA";"307";"309";"318";"V2";"2022-07-07"
"8MZY";"263";"167";"181";"BX";"2022-07-07"
"44LX";"176";"132";"263";"R2";"2022-07-07"
"C2AV";"141";"121";"250";"C8";"2022-07-07"
"XTLJ";"90";"69";"476";"5W";"2022-07-07"
"UF3S";"30";"24";"103";"V4";"2022-07-07"
"8LQB";"904";"765";"183";"5R";"2022-07-06"
"FNAD";"814";"866";"149";"VE";"2022-07-06"
"VLIO";"750";"451";"246";"FG";"2022-07-06"
"AUDF";"742";"596";"322";"D7";"2022-07-06"
"NQ52";"689";"442";"35";"ZO";"2022-07-06"
"NMF1";"596";"634";"163";"QS";"2022-07-06"
"RLNR";"625";"595";"162";"X4";"2022-07-06"
"P7YU";"479";"420";"360";"OS";"2022-07-06"
"9UAQ";"431";"308";"150";"DX";"2022-07-06"
"B64R";"448";"261";"273";"LA";"2022-07-06"
"QZUX";"351";"308";"218";"AB";"2022-07-06"
"PQSV";"297";"198";"54";"OI";"2022-07-06"
"1HTG";"224";"178";"155";"ES";"2022-07-06"
"94BH";"207";"113";"23";"ZY";"2022-07-06"
"3K89";"152";"101";"330";"VU";"2022-07-06"
"RXI2";"92";"94";"329";"H5";"2022-07-06"
"5V3G";"35";"21";"118";"YV";"2022-07-06"
"6AD2";"791";"742";"458";"CP";"2022-07-05"
"P12L";"798";"665";"479";"QE";"2022-07-05"
"HE0B";"696";"479";"400";"L2";"2022-07-05"
"LQTQ";"732";"736";"278";"C2";"2022-07-05"
"OHTQ";"654";"641";"255";"ZK";"2022-07-05"
"LVEJ";"616";"351";"260";"AB";"2022-07-05"
"CNUK";"557";"466";"194";"8J";"2022-07-05"
"I6AA";"482";"496";"273";"0P";"2022-07-05"
"WIXN";"396";"343";"380";"JZ";"2022-07-05"
"MJZJ";"383";"346";"166";"US";"2022-07-05"
"IHJB";"337";"191";"445";"3B";"2022-07-05"
"IQ82";"272";"152";"301";"JI";"2022-07-05"
"S8WZ";"183";"182";"261";"IX";"2022-07-05"
"X6SD";"147";"90";"99";"DZ";"2022-07-05"
"3P9B";"95";"60";"29";"JS";"2022-07-05"
"BO8G";"35";"28";"126";"CP";"2022-07-05"
"VLI9";"804";"843";"442";"88";"2022-07-04"
"L8VV";"813";"696";"260";"IV";"2022-07-04"
"LHL6";"788";"432";"398";"AW";"2022-07-04"
"RWT3";"655";"390";"369";"MO";"2022-07-04"
"LSVB";"669";"686";"189";"NN";"2022-07-04"
"BERI";"558";"338";"384";"D4";"2022-07-04"
"PJSV";"565";"400";"6";"K5";"2022-07-04"
"1JW4";"418";"334";"437";"9V";"2022-07-04"
"B3U5";"387";"239";"272";"A3";"2022-07-04"
"0IH5";"339";"399";"103";"S6";"2022-07-04"
"NMRB";"287";"176";"255";"S3";"2022-07-04"
"I5DB";"275";"222";"141";"41";"2022-07-04"
"Y02S";"194";"155";"334";"1F";"2022-07-04"
"P69X";"150";"119";"169";"PP";"2022-07-04"
"12L9";"100";"95";"436";"HB";"2022-07-04"
"IX7D";"37";"36";"296";"YT";"2022-07-04"
"L80X";"872";"858";"477";"QU";"2022-07-03"
"62RK";"822";"789";"164";"SS";"2022-07-03"
"A27U";"700";"802";"205";"PX";"2022-07-03"
"8BSZ";"703";"511";"18";"5O";"2022-07-03"
"DRMU";"655";"642";"349";"1L";"2022-07-03"
"ZQFB";"513";"457";"99";"I0";"2022-07-03"
"Y9JX";"559";"490";"65";"KT";"2022-07-03"
"POU1";"473";"463";"137";"ML";"2022-07-03"
"T9FL";"384";"294";"110";"1U";"2022-07-03"
"38JB";"379";"284";"325";"PB";"2022-07-03"
"W54Z";"318";"314";"345";"HH";"2022-07-03"
"CDIY";"252";"231";"298";"JC";"2022-07-03"
"578W";"218";"144";"176";"IU";"2022-07-03"
"NWMS";"158";"82";"288";"JY";"2022-07-03"
"PB3X";"101";"86";"211";"9H";"2022-07-03"
"N06S";"34";"40";"404";"54";"2022-07-03"
"F491";"913";"560";"404";"0I";"2022-07-02"
"K4WE";"861";"600";"207";"NT";"2022-07-02"
"BKX9";"666";"491";"499";"U5";"2022-07-02"
"R114";"674";"716";"489";"HQ";"2022-07-02"
"HZTY";"638";"352";"44";"PT";"2022-07-02"
"3FFH";"526";"506";"328";"7H";"2022-07-02"
"XCLI";"487";"363";"203";"1E";"2022-07-02"
"E29C";"474";"406";"338";"59";"2022-07-02"
"COFS";"413";"322";"444";"46";"2022-07-02"
"PQLT";"348";"332";"204";"FI";"2022-07-02"
"475J";"280";"224";"410";"BP";"2022-07-02"
"89SJ";"232";"185";"224";"JW";"2022-07-02"
"V6KB";"220";"133";"340";"Q4";"2022-07-02"
"5LU9";"160";"158";"228";"UJ";"2022-07-02"
"A0ZZ";"98";"63";"128";"O2";"2022-07-02"
"A2B3";"38";"26";"294";"63";"2022-07-02"
"GRT8";"769";"582";"329";"6S";"2022-07-01"
"TEQY";"844";"789";"205";"XL";"2022-07-01"
"8NWH";"736";"564";"108";"A6";"2022-07-01"
"5F8E";"643";"466";"194";"NZ";"2022-07-01"
"CZDP";"604";"545";"326";"U0";"2022-07-01"
"DBNO";"629";"596";"273";"WS";"2022-07-01"
"S15Z";"523";"545";"430";"JA";"2022-07-01"
"9HAG";"445";"279";"179";"C6";"2022-07-01"
"Q9LW";"451";"327";"8";"2W";"2022-07-01"
"TIIC";"385";"270";"254";"UY";"2022-07-01"
"SEDR";"293";"274";"205";"FV";"2022-07-01"
"YVRP";"229";"262";"464";"Y4";"2022-07-01"
"QGG3";"217";"219";"264";"AG";"2022-07-01"
"T60F";"142";"147";"61";"9H";"2022-07-01"
"LQ23";"96";"88";"318";"ID";"2022-07-01"
"18CC";"38";"33";"111";"4G";"2022-07-01"
"8CY0";"841";"541";"339";"FO";"2022-06-30"
"D3ZB";"727";"834";"256";"Q6";"2022-06-30"
"F3FX";"711";"779";"92";"37";"2022-06-30"
"L8YN";"664";"466";"303";"AN";"2022-06-30"
"CFB6";"643";"474";"144";"VO";"2022-06-30"
"0PO9";"589";"513";"134";"AH";"2022-06-30"
"I3I4";"559";"412";"188";"9F";"2022-06-30"
"OW70";"442";"353";"92";"42";"2022-06-30"
"KEYG";"435";"458";"459";"VS";"2022-06-30"
"YKLY";"327";"281";"422";"EC";"2022-06-30"
"J4N8";"343";"230";"289";"MP";"2022-06-30"
"7M6D";"270";"162";"333";"YC";"2022-06-30"
"Q61S";"206";"151";"431";"U2";"2022-06-30"
"WI37";"153";"163";"169";"7Y";"2022-06-30"
"M19A";"95";"80";"155";"K3";"2022-06-30"
"C2K9";"44";"27";"278";"W5";"2022-06-30"
"XCOL";"822";"498";"340";"GF";"2022-06-29"
"TYPO";"829";"465";"373";"PZ";"2022-06-29"
"S6JX";"769";"610";"340";"CD";"2022-06-29"
"S24Q";"755";"758";"336";"D7";"2022-06-29"
"HO5S";"696";"658";"156";"O9";"2022-06-29"
"PCJT";"521";"573";"487";"5D";"2022-06-29"
"UJJ3";"497";"562";"144";"P8";"2022-06-29"
"JGTY";"437";"263";"171";"YU";"2022-06-29"
"4QQO";"435";"243";"153";"AN";"2022-06-29"
"JJL8";"346";"372";"427";"ZT";"2022-06-29"
"LQIJ";"331";"244";"376";"56";"2022-06-29"
"MWOD";"247";"177";"260";"AC";"2022-06-29"
"YOOA";"210";"145";"191";"MP";"2022-06-29"
"JLYE";"137";"99";"81";"H3";"2022-06-29"
"38CF";"102";"66";"178";"68";"2022-06-29"
"H8V1";"44";"34";"133";"2W";"2022-06-29"
"TT6V";"904";"874";"191";"TX";"2022-06-28"
"YMB1";"762";"799";"138";"KS";"2022-06-28"
"DJLL";"735";"436";"79";"MY";"2022-06-28"
"KFBT";"665";"677";"393";"6F";"2022-06-28"
"WODQ";"695";"524";"493";"23";"2022-06-28"
"FNIN";"625";"532";"211";"24";"2022-06-28"
"8P6N";"478";"422";"106";"UC";"2022-06-28"
"J0VY";"454";"375";"233";"YO";"2022-06-28"
"PIY9";"412";"258";"477";"H4";"2022-06-28"
"1HA6";"346";"307";"59";"TM";"2022-06-28"
"FL2X";"290";"199";"400";"ZI";"2022-06-28"
"SA18";"278";"206";"268";"LN";"2022-06-28"
"PJCL";"184";"161";"163";"MG";"2022-06-28"
"WR9D";"154";"106";"17";"RU";"2022-06-28"
"577Y";"100";"55";"458";"OM";"2022-06-28"
"CE1H";"38";"33";"466";"FC";"2022-06-28"
"65IF";"943";"556";"187";"YF";"2022-06-27"
"T79J";"886";"802";"154";"Q4";"2022-06-27"
"0D7F";"710";"491";"16";"1A";"2022-06-27"
"I0IK";"642";"756";"473";"AQ";"2022-06-27"
"PFYU";"649";"623";"11";"W2";"2022-06-27"
"GIWW";"580";"454";"148";"PF";"2022-06-27"
"BV9F";"502";"488";"14";"HJ";"2022-06-27"
"0ZPV";"501";"342";"220";"PK";"2022-06-27"
"PLZO";"402";"312";"290";"L5";"2022-06-27"
"OT7B";"388";"378";"245";"GB";"2022-06-27"
"MIHK";"340";"224";"235";"R3";"2022-06-27"
"NUDD";"268";"210";"436";"X5";"2022-06-27"
"Y2ST";"183";"131";"245";"A6";"2022-06-27"
"57LK";"144";"160";"451";"4C";"2022-06-27"
"64Q8";"88";"69";"110";"CN";"2022-06-27"
"79NL";"45";"34";"311";"UL";"2022-06-27"
"U3OY";"834";"787";"348";"KN";"2022-06-26"
"03FN";"789";"758";"134";"XW";"2022-06-26"
"ZHUM";"761";"570";"363";"NO";"2022-06-26"
"Y0AH";"703";"542";"238";"C3";"2022-06-26"
"4EBK";"654";"583";"14";"3V";"2022-06-26"
"QDHM";"622";"454";"45";"RC";"2022-06-26"
"KP7O";"510";"478";"62";"F9";"2022-06-26"
"MCJ9";"489";"487";"89";"1O";"2022-06-26"
"OY20";"387";"301";"434";"4D";"2022-06-26"
"3Q4D";"398";"310";"415";"QX";"2022-06-26"
"6HYY";"305";"249";"402";"4T";"2022-06-26"
"9QB6";"269";"256";"442";"QL";"2022-06-26"
"18A0";"206";"132";"57";"XT";"2022-06-26"
"HPFM";"156";"125";"163";"4N";"2022-06-26"
"2C2R";"95";"64";"26";"X3";"2022-06-26"
"FVEX";"45";"47";"28";"QH";"2022-06-26"
"36XV";"821";"739";"371";"XB";"2022-06-25"
"CABQ";"728";"793";"48";"U5";"2022-06-25"
"8WTN";"810";"552";"238";"1V";"2022-06-25"
"EA8N";"755";"459";"441";"3Y";"2022-06-25"
"6O2C";"573";"451";"126";"32";"2022-06-25"
"QFS8";"619";"383";"406";"08";"2022-06-25"
"1FA8";"580";"561";"230";"XR";"2022-06-25"
"XJ5A";"468";"448";"323";"5G";"2022-06-25"
"WAF2";"451";"376";"272";"0R";"2022-06-25"
"ZPYL";"336";"317";"472";"8L";"2022-06-25"
"LFSF";"296";"211";"55";"OV";"2022-06-25"
"909Z";"284";"151";"343";"AZ";"2022-06-25"
"6WUI";"197";"187";"280";"5X";"2022-06-25"
"50BN";"154";"149";"483";"9L";"2022-06-25"
"RN8K";"91";"100";"173";"C9";"2022-06-25"
"XC20";"45";"27";"126";"0V";"2022-06-25"
"GKNT";"934";"515";"310";"C1";"2022-06-24"
"E6AE";"762";"794";"486";"JM";"2022-06-24"
"4Q0A";"696";"678";"39";"79";"2022-06-24"
"HX3H";"721";"687";"397";"3Q";"2022-06-24"
"0HCY";"637";"576";"122";"8G";"2022-06-24"
"96YN";"606";"643";"432";"NW";"2022-06-24"
"AMBH";"513";"341";"363";"LA";"2022-06-24"
"AKW7";"492";"500";"266";"ZX";"2022-06-24"
"3JKM";"411";"296";"272";"UB";"2022-06-24"
"PIE8";"348";"329";"6";"X7";"2022-06-24"
"QC4Z";"335";"181";"394";"II";"2022-06-24"
"5AQ7";"259";"156";"367";"D6";"2022-06-24"
"GYTL";"193";"184";"329";"QT";"2022-06-24"
"AVMA";"152";"133";"120";"KG";"2022-06-24"
"39XV";"108";"97";"456";"0S";"2022-06-24"
"4XIG";"48";"45";"259";"YO";"2022-06-24"
"UGL2";"944";"754";"155";"OQ";"2022-06-23"
"WF5V";"872";"488";"415";"O3";"2022-06-23"
"UDSH";"669";"436";"369";"61";"2022-06-23"
"SZ85";"671";"668";"70";"7K";"2022-06-23"
"F9DS";"571";"611";"227";"IS";"2022-06-23"
"XF0O";"635";"452";"196";"2L";"2022-06-23"
"YO25";"546";"365";"266";"7U";"2022-06-23"
"0K96";"442";"510";"12";"8T";"2022-06-23"
"0FEB";"449";"279";"121";"UH";"2022-06-23"
"QFVX";"377";"367";"276";"M4";"2022-06-23"
"FORT";"281";"220";"33";"OO";"2022-06-23"
"EREQ";"241";"279";"259";"WK";"2022-06-23"
"3K8G";"210";"173";"28";"LA";"2022-06-23"
"J9DZ";"147";"116";"105";"Y5";"2022-06-23"
"S1RE";"96";"62";"358";"RU";"2022-06-23"
"YCVF";"48";"48";"36";"NE";"2022-06-23"
"QWAA";"898";"652";"185";"QM";"2022-06-22"
"9B07";"891";"702";"257";"HU";"2022-06-22"
"Q82O";"775";"721";"72";"H2";"2022-06-22"
"4BH4";"752";"629";"84";"L9";"2022-06-22"
"HSV3";"647";"517";"236";"PX";"2022-06-22"
"M47F";"626";"558";"112";"IE";"2022-06-22"
"6XVP";"536";"427";"456";"DO";"2022-06-22"
"W0LD";"490";"385";"263";"FK";"2022-06-22"
"Z1VS";"407";"349";"92";"3S";"2022-06-22"
"UH35";"338";"323";"24";"YN";"2022-06-22"
"0KAM";"320";"223";"180";"KW";"2022-06-22"
"Q05I";"263";"204";"214";"O1";"2022-06-22"
"GP1W";"197";"136";"113";"9R";"2022-06-22"
"T1DT";"155";"87";"342";"70";"2022-06-22"
"TLKR";"92";"108";"251";"Q4";"2022-06-22"
"B0YK";"49";"41";"133";"AP";"2022-06-22"
"AEF1";"942";"941";"221";"NC";"2022-06-21"
"J8F5";"801";"659";"26";"FJ";"2022-06-21"
"9CDH";"672";"798";"200";"HQ";"2022-06-21"
"GM1R";"770";"589";"186";"NL";"2022-06-21"
"43OA";"685";"424";"323";"DI";"2022-06-21"
"9Y89";"652";"369";"255";"J9";"2022-06-21"
"VY7Q";"582";"301";"194";"BM";"2022-06-21"
"L2PD";"475";"369";"124";"T4";"2022-06-21"
"8O44";"419";"315";"372";"M5";"2022-06-21"
"Q43E";"337";"324";"410";"HO";"2022-06-21"
"VGXB";"310";"317";"22";"NK";"2022-06-21"
"7JJS";"285";"152";"295";"BD";"2022-06-21"
"SOM3";"227";"205";"30";"JS";"2022-06-21"
"DPT5";"170";"143";"497";"5W";"2022-06-21"
"AXET";"104";"94";"446";"GB";"2022-06-21"
"X3VY";"46";"44";"8";"T8";"2022-06-21"
"EU4G";"829";"726";"93";"DJ";"2022-06-20"
"IWPZ";"830";"870";"50";"Q3";"2022-06-20"
"YVKY";"754";"659";"45";"DJ";"2022-06-20"
"9VVU";"628";"735";"44";"TI";"2022-06-20"
"EKKD";"632";"569";"437";"DF";"2022-06-20"
"GFGX";"613";"648";"88";"XW";"2022-06-20"
"3WQ7";"499";"355";"431";"7K";"2022-06-20"
"OL7J";"460";"356";"435";"GX";"2022-06-20"
"D2YU";"469";"286";"7";"0S";"2022-06-20"
"LSC1";"352";"320";"372";"1U";"2022-06-20"
"F5CH";"301";"283";"229";"67";"2022-06-20"
"4IMZ";"239";"205";"5";"7G";"2022-06-20"
"030T";"196";"186";"412";"53";"2022-06-20"
"7L9H";"143";"88";"468";"YX";"2022-06-20"
"BYD9";"106";"65";"124";"NY";"2022-06-20"
"DIFH";"52";"44";"479";"Q4";"2022-06-20"
"RUDC";"906";"672";"356";"4T";"2022-06-19"
"QREN";"765";"500";"3";"X5";"2022-06-19"
"EECO";"830";"418";"491";"SR";"2022-06-19"
"T2ET";"721";"550";"232";"PA";"2022-06-19"
"V9JD";"590";"503";"35";"UY";"2022-06-19"
"QDQ8";"594";"600";"13";"DV";"2022-06-19"
"E0JM";"553";"362";"393";"0B";"2022-06-19"
"9CPT";"518";"429";"296";"DQ";"2022-06-19"
"0XLT";"395";"357";"138";"2D";"2022-06-19"
"AY11";"334";"398";"474";"QQ";"2022-06-19"
"D9Z4";"351";"340";"226";"RA";"2022-06-19"
"UO98";"268";"174";"374";"6Y";"2022-06-19"
"4E9W";"235";"233";"442";"C6";"2022-06-19"
"DB8V";"171";"141";"236";"J0";"2022-06-19"
"TBRV";"92";"68";"159";"XC";"2022-06-19"
"LF2N";"49";"50";"451";"Q5";"2022-06-19"
"PD16";"871";"739";"296";"36";"2022-06-18"
"LLG7";"856";"632";"408";"38";"2022-06-18"
"YULG";"813";"630";"77";"0F";"2022-06-18"
"XGGY";"650";"451";"117";"6Y";"2022-06-18"
"RQRM";"616";"547";"244";"HZ";"2022-06-18"
"JQX7";"570";"521";"433";"TH";"2022-06-18"
"I9BV";"495";"411";"121";"KR";"2022-06-18"
"Q36W";"483";"484";"274";"W0";"2022-06-18"
"GMGP";"447";"319";"361";"LP";"2022-06-18"
"1JTC";"356";"300";"374";"OL";"2022-06-18"
"HA81";"331";"282";"262";"II";"2022-06-18"
"OC8V";"245";"229";"228";"YA";"2022-06-18"
"6661";"232";"195";"37";"83";"2022-06-18"
"OXXM";"145";"146";"418";"DB";"2022-06-18"
"D1M8";"99";"60";"476";"4B";"2022-06-18"
"3C4R";"55";"53";"473";"7A";"2022-06-18"
"L42R";"865";"580";"389";"A9";"2022-06-17"
"MJYE";"761";"606";"106";"IN";"2022-06-17"
"Y2N5";"719";"749";"451";"J6";"2022-06-17"
"K9OS";"656";"530";"143";"7D";"2022-06-17"
"U815";"677";"466";"255";"MK";"2022-06-17"
"CHN1";"561";"523";"480";"0Q";"2022-06-17"
"FZNK";"563";"531";"184";"NF";"2022-06-17"
"K6UI";"472";"488";"440";"4F";"2022-06-17"
"SARE";"459";"402";"159";"4H";"2022-06-17"
"S8RF";"347";"220";"194";"E2";"2022-06-17"
"9ZUL";"314";"293";"260";"LU";"2022-06-17"
"AHD1";"258";"226";"427";"58";"2022-06-17"
"OIOS";"226";"139";"33";"6P";"2022-06-17"
"DEQP";"151";"99";"141";"DV";"2022-06-17"
"A22U";"107";"114";"492";"SR";"2022-06-17"
"F67J";"53";"33";"303";"BA";"2022-06-17"
"M2UO";"784";"744";"31";"PN";"2022-06-16"
"Y9EX";"879";"478";"468";"P0";"2022-06-16"
"SUHJ";"799";"773";"394";"39";"2022-06-16"
"NATB";"724";"558";"451";"KU";"2022-06-16"
"PX31";"647";"406";"72";"QZ";"2022-06-16"
"PWW1";"581";"587";"481";"5L";"2022-06-16"
"6EAM";"497";"451";"80";"P1";"2022-06-16"
"QT24";"518";"336";"72";"OQ";"2022-06-16"
"Y729";"454";"336";"420";"M2";"2022-06-16"
"MQJO";"341";"227";"279";"RH";"2022-06-16"
"VH1L";"289";"184";"131";"QE";"2022-06-16"
"MG3A";"269";"298";"191";"SW";"2022-06-16"
"79EX";"233";"201";"121";"8X";"2022-06-16"
"UUOP";"173";"123";"214";"D8";"2022-06-16"
